
#S 55  ascan  th 24.8307 26.0308  40 2
#D Fri May 10 16:28:36 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.0076331 3.001320465 0.005927908825 1.5406 -4.345492604 4.385399697 -35 81.13531624 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00763 3.00132 0.00592791
#P0 120.7995 25.43075 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 20.0824K  51.3158K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
#D Fri May 10 20:00:35 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.007607223 3.001346399 0.005907947667 1.5406 -4.345559891 4.385332604 -35 81.13531604 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00761 3.00135 0.00590795
#P0 120.7995 25.43025 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 41.0052K  61.2951K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
24.83025 2.97639 3.0323 -0.0180453  42.0088 61.705 278361 2 0 3
24.86025 2.97796 3.03076 -0.0168477  42.0079 61.7123 278364 2 0 5
24.89025 2.97953 3.02922 -0.01565  42.0075 0 278367 2 0 6
24.92025 2.98109 3.02768 -0.0144524  42.0075 61.7289 278370 2 0 5
24.95025 2.98266 3.02614 -0.0132547  42.0063 61.7369 278373 2 0 13
24.98025 2.98423 3.02459 -0.0120571  42.0067 61.74 278376 2 0 15
25.01025 2.98579 3.02305 -0.0108594  0 61.7488 278379 2 0 14
25.04025 2.98735 3.02151 -0.00966177  0 61.7566 278382 2 0 22
25.07025 2.98892 3.01996 -0.00846411  0 61.7638 278385 2 0 50
25.10025 2.99048 3.01841 -0.00726644  42.0049 61.7696 278388 2 0 59
25.13025 2.99204 3.01687 -0.00606877  0 61.7756 278391 2 0 75
25.16025 2.9936 3.01532 -0.0048711  0 61.7808 278394 2 0 138
25.19025 2.99516 3.01377 -0.00367343  0 61.7861 278397 2 0 213
25.22025 2.99672 3.01222 -0.00247576  0 61.7922 278400 2 0 346
25.25025 2.99828 3.01067 -0.00127809  42.0032 61.7987 278403 2 0 407
25.28025 2.99983 3.00912 -8.04133e-05  0 61.8047 278406 2 0 543
25.31025 3.00139 3.00756 0.00111726  0 61.8111 278409 2 0 734
25.34025 3.00295 3.00601 0.00231493  0 61.8166 278412 2 0 912
25.37025 3.0045 3.00446 0.00351261  42.0026 61.8207 278415 2 0 1063
25.40025 3.00605 3.0029 0.00471028  0 61.8253 278418 2 0 1253
25.43025 3.00761 3.00135 0.00590795  0 61.8346 278421 2 0 1400
25.46025 3.00916 2.99979 0.00710562  0 61.8366 278424 2 0 1329
25.49025 3.01071 2.99823 0.00830328  0 61.8421 278427 2 0 1197
25.52025 3.01226 2.99667 0.00950095  0 61.8484 278430 2 0 1014
25.55025 3.01381 2.99512 0.0106986  0 61.8496 278433 2 0 794
25.58025 3.01536 2.99356 0.0118963  0 61.857 278436 2 0 593
25.61025 3.01691 2.992 0.0130939  42.0018 61.8602 278439 2 0 383
25.64025 3.01846 2.99043 0.0142916  0 61.8653 278442 2 0 246
25.67025 3.02 2.98887 0.0154892  0 61.8691 278445 2 0 164
25.70025 3.02155 2.98731 0.0166869  0 61.8748 278448 2 0 95
25.73025 3.02309 2.98574 0.0178845  42.0013 61.8788 278451 2 0 53
25.76025 3.02464 2.98418 0.0190821  0 61.8822 278454 2 0 38
25.79025 3.02618 2.98261 0.0202798  0 61.8862 278457 2 0 34
25.82025 3.02772 2.98105 0.0214774  0 61.8927 278460 2 0 15
25.85025 3.02926 2.97948 0.022675  0 61.8929 278463 2 0 12
25.88025 3.0308 2.97791 0.0238726  0 61.8963 278466 2 0 13
25.91025 3.03234 2.97634 0.0250702  0 61.9017 278469 2 0 19
25.94025 3.03388 2.97477 0.0262678  0 61.9041 278472 2 0 7
25.97025 3.03542 2.9732 0.0274654  0 61.9097 278475 2 0 6
26.00025 3.03696 2.97163 0.028663  0 61.9125 278478 2 0 10
26.03025 3.03849 2.97006 0.0298606  0 61.9161 278481 2 0 11

#S 100  a2scan  tth 119.299 122.299  th 24.6845 26.1845  60 2
#D Fri May 10 20:02:45 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.007827171 3.001125948 0.006077617499 1.5406 -4.344987942 4.385902884 -35 81.13531774 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00783 3.00113 0.00607762
#P0 120.7995 25.4345 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 0K  61.9161K 
#N 11
#L 2Th  Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
119.2995 24.6845 2.9852 2.97855 0.0060319  42.0004 61.9333 278496 2 0 3
119.3495 24.7095 2.98597 2.97931 0.00603344  42.0003 61.9378 278501 2 0 2
119.3995 24.7345 2.98673 2.98007 0.00603498  0 61.9426 278506 2 0 5
119.4495 24.7595 2.98749 2.98083 0.00603652  0 61.9481 278511 2 0 4
119.4995 24.7845 2.98825 2.98159 0.00603806  42.0005 61.9539 278516 2 0 13
119.5495 24.8095 2.98901 2.98235 0.00603959  42.0002 61.9578 278521 2 0 10
119.5995 24.8345 2.98977 2.98311 0.00604113  42.0001 61.9626 278526 2 0 18
119.6495 24.8595 2.99053 2.98387 0.00604266  42.0005 61.968 278531 2 0 15
119.6995 24.8845 2.99129 2.98462 0.0060442  42 61.9718 278536 2 0 17
119.7495 24.9095 2.99204 2.98538 0.00604573  0 61.9743 278542 2 0 19
119.7995 24.9345 2.9928 2.98613 0.00604726  0 61.9784 278547 2 0 34
119.8495 24.9595 2.99356 2.98689 0.00604879  42.0002 0 278552 2 0 28
119.8995 24.9845 2.99431 2.98764 0.00605031  42 61.9837 278555 2 0 38
119.9495 25.0095 2.99507 2.9884 0.00605184  42 61.9895 278560 2 0 59
119.9995 25.0345 2.99582 2.98915 0.00605337  0 61.9935 278565 2 0 66
120.0495 25.0595 2.99658 2.9899 0.00605489  41.9996 61.9965 278570 2 0 81
120.0995 25.0845 2.99733 2.99066 0.00605641  41.9998 61.9976 278576 2 0 97
120.1495 25.1095 2.99809 2.99141 0.00605794  41.9999 62.0026 278581 2 0 130
120.1995 25.1345 2.99884 2.99216 0.00605946  42.0002 62.006 278586 2 0 181
120.2495 25.1595 2.99959 2.99291 0.00606098  41.9998 0 278591 2 0 190
120.2995 25.1845 3.00034 2.99366 0.00606249  41.9999 62.0107 278596 2 0 234
120.3495 25.2095 3.00109 2.99441 0.00606401  42 62.0147 278601 2 0 307
120.3995 25.2345 3.00184 2.99516 0.00606553  42 62.0172 278606 2 0 402
120.4495 25.2595 3.00259 2.9959 0.00606704  0 62.0189 278611 2 0 513
120.4995 25.2845 3.00334 2.99665 0.00606856  42 62.0222 278616 2 0 611
120.5495 25.3095 3.00409 2.9974 0.00607007  42.0004 62.0235 278622 2 0 743
120.5995 25.3345 3.00484 2.99815 0.00607158  42.0003 62.029 278627 2 0 854
120.6495 25.3595 3.00559 2.99889 0.00607309  0 62.0262 278632 2 0 1077
120.6995 25.3845 3.00633 2.99964 0.0060746  41.9998 0 278637 2 0 1177
120.7495 25.4095 3.00708 3.00038 0.00607611  42 0 278642 2 0 1232
120.7995 25.4345 3.00783 3.00113 0.00607762  41.9999 62.0361 278647 2 0 1308
120.8495 25.4595 3.00857 3.00187 0.00607912  42.0003 62.0384 278652 2 0 1299
120.8995 25.4845 3.00932 3.00261 0.00608063  41.9996 62.0387 278657 2 0 1261
120.9495 25.5095 3.01006 3.00336 0.00608213  0 62.0417 278662 2 0 1172
120.9995 25.5345 3.0108 3.0041 0.00608363  41.9999 62.0436 278667 2 0 1131
121.0495 25.5595 3.01155 3.00484 0.00608514  0 62.045 278673 2 0 1005
121.0995 25.5845 3.01229 3.00558 0.00608664  41.9999 62.0461 278678 2 0 826
121.1495 25.6095 3.01303 3.00632 0.00608813  42 62.0497 278683 2 0 752
121.1995 25.6345 3.01377 3.00706 0.00608963  41.9997 62.0515 278688 2 0 690
121.2495 25.6595 3.01451 3.0078 0.00609113  41.9999 0 278693 2 0 621
121.2995 25.6845 3.01525 3.00854 0.00609262  42.0005 62.0513 278698 2 0 502
121.3495 25.7095 3.01599 3.00927 0.00609412  42.0005 62.0568 278703 2 0 427
121.3995 25.7345 3.01673 3.01001 0.00609561  42 62.0581 278708 2 0 354
121.4495 25.7595 3.01747 3.01075 0.0060971  0 62.0604 278714 2 0 243
121.4995 25.7845 3.01821 3.01148 0.00609859  42.0001 62.0585 278719 2 0 213
121.5495 25.8095 3.01895 3.01222 0.00610008  42 62.0631 278724 2 0 184
121.5995 25.8345 3.01968 3.01296 0.00610157  42.0003 62.0625 278729 2 0 126
121.6495 25.8595 3.02042 3.01369 0.00610306  42.0001 62.0638 278734 2 0 96
121.6995 25.8845 3.02115 3.01442 0.00610455  0 62.0672 278739 2 0 68
121.7495 25.9095 3.02189 3.01516 0.00610603  42.0001 62.0664 278744 2 0 68
121.7995 25.9345 3.02262 3.01589 0.00610752  42.0004 62.0659 278749 2 0 65
121.8495 25.9595 3.02336 3.01662 0.006109  41.9998 62.0664 278755 2 0 41
121.8995 25.9845 3.02409 3.01735 0.00611048  0 62.0708 278760 2 0 31
121.9495 26.0095 3.02482 3.01808 0.00611196  42.0001 62.0691 278765 2 0 24
121.9995 26.0345 3.02556 3.01881 0.00611344  42 62.0716 278770 2 0 21
122.0495 26.0595 3.02629 3.01954 0.00611492  41.9998 62.0733 278775 2 0 21
122.0995 26.0845 3.02702 3.02027 0.00611639  41.9998 62.0729 278780 2 0 14
122.1495 26.1095 3.02775 3.021 0.00611787  41.9995 62.0745 278785 2 0 6
122.1995 26.1345 3.02848 3.02173 0.00611934  41.9998 62.0752 278790 2 0 7
122.2495 26.1595 3.02921 3.02246 0.00612082  41.9999 62.0756 278795 2 0 6
122.2995 26.1845 3.02994 3.02319 0.00612229  41.9997 62.0774 278800 2 0 1
#C Fri May 10 20:08:11 2019.  Temperature Setpoint at 43.
#C Fri May 10 20:08:12 2019.  Temperature Setpoint at 43.

#S 101  ascan  th 24.8345 26.0345  40 2
#D Fri May 10 20:10:13 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.007827171 3.001125948 0.006077617499 1.5406 -4.344987942 4.385902884 -35 81.13531774 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00783 3.00113 0.00607762
#P0 120.7995 25.4345 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 42.0052K  62.0753K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
24.8345 2.97661 3.03208 -0.0178757  43.0093 62.4911 278939 2 0 7
24.8645 2.97818 3.03054 -0.016678  43.0085 62.5007 278942 2 0 7
24.8945 2.97975 3.029 -0.0154804  43.008 62.5071 278945 2 0 8
24.9245 2.98132 3.02746 -0.0142827  43.0075 62.5133 278948 2 0 9
24.9545 2.98288 3.02592 -0.0130851  43.0067 62.5215 278951 2 0 17
24.9845 2.98445 3.02438 -0.0118874  43.0066 62.5288 278954 2 0 13
25.0145 2.98601 3.02283 -0.0106898  43.0064 62.5366 278957 2 0 15
25.0445 2.98757 3.02129 -0.0094921  43.0061 62.5425 278960 2 0 24
25.0745 2.98914 3.01974 -0.00829444  43.0052 62.5496 278963 2 0 36
25.1045 2.9907 3.01819 -0.00709677  43.0049 62.5594 278966 2 0 46
25.1345 2.99226 3.01665 -0.0058991  43.0049 62.5616 278969 2 0 73
25.1645 2.99382 3.0151 -0.00470143  43.0041 62.5711 278972 2 0 147
25.1945 2.99538 3.01355 -0.00350376  0 62.5783 278975 2 0 257
25.2245 2.99694 3.012 -0.00230609  43.0038 62.5838 278978 2 0 324
25.2545 2.9985 3.01045 -0.00110842  0 62.588 278981 2 0 455
25.2845 3.00005 3.0089 8.92571e-05  0 62.5908 278984 2 0 648
25.3145 3.00161 3.00734 0.00128693  43.0037 62.6015 278987 2 0 780
25.3445 3.00317 3.00579 0.0024846  0 62.6076 278990 2 0 921
25.3745 3.00472 3.00424 0.00368228  0 62.6131 278993 2 0 1147
25.4045 3.00627 3.00268 0.00487995  0 62.6175 278996 2 0 1305
25.4345 3.00783 3.00113 0.00607762  0 62.6241 278999 2 0 1260
25.4645 3.00938 2.99957 0.00727529  0 62.6305 279002 2 0 1328
25.4945 3.01093 2.99801 0.00847295  0 62.6351 279005 2 0 1089
25.5245 3.01248 2.99645 0.00967062  0 62.6394 279008 2 0 936
25.5545 3.01403 2.99489 0.0108683  0 62.644 279011 2 0 747
25.5845 3.01558 2.99333 0.0120659  0 62.6475 279014 2 0 544
25.6145 3.01713 2.99177 0.0132636  0 62.6544 279017 2 0 341
25.6445 3.01867 2.99021 0.0144612  0 62.6593 279020 2 0 202
25.6745 3.02022 2.98865 0.0156589  0 62.6649 279023 2 0 159
25.7045 3.02177 2.98709 0.0168565  0 62.668 279026 2 0 97
25.7345 3.02331 2.98552 0.0180542  0 62.6721 279029 2 0 73
25.7645 3.02485 2.98396 0.0192518  0 62.6775 279032 2 0 39
25.7945 3.0264 2.98239 0.0204494  0 62.6827 279035 2 0 33
25.8245 3.02794 2.98083 0.0216471  0 62.6873 279038 2 0 25
25.8545 3.02948 2.97926 0.0228447  0 62.6881 279041 2 0 17
25.8845 3.03102 2.97769 0.0240423  0 62.6945 279044 2 0 11
25.9145 3.03256 2.97612 0.0252399  0 62.6976 279047 2 0 9
25.9445 3.0341 2.97455 0.0264375  0 62.704 279050 2 0 8
25.9745 3.03564 2.97298 0.0276351  0 62.7051 279053 2 0 19
26.0045 3.03718 2.97141 0.0288327  0 62.7101 279056 2 0 6
26.0345 3.03871 2.96984 0.0300302  0 62.714 279059 2 0 7

#S 102  a2scan  tth 119.299 122.299  th 24.6775 26.1775  60 2
#D Fri May 10 20:12:24 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.007464895 3.001489035 0.005798161288 1.5406 -4.345929964 4.384963587 -35 81.13531497 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00746 3.00149 0.00579816
#P0 120.7995 25.4275 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 0K  62.714K 
#N 11
#L 2Th  Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
119.2995 24.6775 2.98484 2.97891 0.00575455  43.0008 62.7319 279076 2 0 2
119.3495 24.7025 2.98561 2.97967 0.00575602  43.0004 62.7394 279081 2 0 2
119.3995 24.7275 2.98637 2.98043 0.00575749  43.0005 62.7457 279086 2 0 5
119.4495 24.7525 2.98713 2.98119 0.00575896  43.0002 62.7512 279091 2 0 8
119.4995 24.7775 2.98789 2.98195 0.00576042  43.0004 62.7555 279096 2 0 7
119.5495 24.8025 2.98865 2.98271 0.00576189  43.0005 62.7618 279101 2 0 11
119.5995 24.8275 2.98941 2.98347 0.00576335  43.0002 0 279106 2 0 8
119.6495 24.8525 2.99017 2.98423 0.00576481  43.0001 62.7697 279111 2 0 11
119.6995 24.8775 2.99093 2.98498 0.00576628  43.0004 62.7747 279116 2 0 23
119.7495 24.9025 2.99168 2.98574 0.00576774  42.9997 62.7787 279121 2 0 28
119.7995 24.9275 2.99244 2.9865 0.0057692  42.9999 62.7849 279126 2 0 38
119.8495 24.9525 2.9932 2.98725 0.00577066  0 62.7878 279131 2 0 45
119.8995 24.9775 2.99395 2.988 0.00577211  42.9997 62.7931 279137 2 0 47
119.9495 25.0025 2.99471 2.98876 0.00577357  43 62.7928 279142 2 0 62
119.9995 25.0275 2.99546 2.98951 0.00577502  42.9995 62.798 279147 2 0 90
120.0495 25.0525 2.99622 2.99026 0.00577648  0 62.8024 279152 2 0 68
120.0995 25.0775 2.99697 2.99102 0.00577793  43.0003 0 279157 2 0 104
120.1495 25.1025 2.99773 2.99177 0.00577938  43 62.8101 279162 2 0 119
120.1995 25.1275 2.99848 2.99252 0.00578084  42.9995 62.8117 279167 2 0 176
120.2495 25.1525 2.99923 2.99327 0.00578229  43.0002 62.8163 279172 2 0 200
120.2995 25.1775 2.99998 2.99402 0.00578373  0 62.8217 279177 2 0 261
120.3495 25.2025 3.00073 2.99477 0.00578518  43 62.824 279182 2 0 345
120.3995 25.2275 3.00148 2.99552 0.00578663  42.9997 62.824 279187 2 0 421
120.4495 25.2525 3.00223 2.99627 0.00578807  43.0002 62.8264 279193 2 0 467
120.4995 25.2775 3.00298 2.99701 0.00578952  0 62.8295 279198 2 0 641
120.5495 25.3025 3.00373 2.99776 0.00579096  42.9999 62.8331 279203 2 0 757
120.5995 25.3275 3.00448 2.99851 0.0057924  43 62.8344 279208 2 0 912
120.6495 25.3525 3.00523 2.99925 0.00579384  42.9995 62.8392 279213 2 0 1069
120.6995 25.3775 3.00597 3 0.00579528  0 62.839 279218 2 0 1192
120.7495 25.4025 3.00672 3.00074 0.00579672  42.9998 62.8406 279223 2 0 1223
120.7995 25.4275 3.00746 3.00149 0.00579816  43.0003 62.8451 279228 2 0 1398
120.8495 25.4525 3.00821 3.00223 0.0057996  42.9999 62.844 279233 2 0 1329
120.8995 25.4775 3.00895 3.00298 0.00580103  0 62.8486 279238 2 0 1235
120.9495 25.5025 3.0097 3.00372 0.00580247  42.9998 62.8496 279244 2 0 1174
120.9995 25.5275 3.01044 3.00446 0.0058039  43.0001 62.8505 279249 2 0 1039
121.0495 25.5525 3.01119 3.0052 0.00580533  42.9998 62.8523 279254 2 0 944
121.0995 25.5775 3.01193 3.00594 0.00580676  0 62.8534 279259 2 0 848
121.1495 25.6025 3.01267 3.00668 0.00580819  43 62.856 279264 2 0 724
121.1995 25.6275 3.01341 3.00742 0.00580962  42.9994 62.8573 279269 2 0 661
121.2495 25.6525 3.01415 3.00816 0.00581105  43 62.8596 279274 2 0 573
121.2995 25.6775 3.01489 3.0089 0.00581248  0 62.8594 279279 2 0 509
121.3495 25.7025 3.01563 3.00964 0.0058139  42.9996 62.8618 279284 2 0 396
121.3995 25.7275 3.01637 3.01038 0.00581533  42.9995 62.8624 279290 2 0 344
121.4495 25.7525 3.01711 3.01111 0.00581675  42.9998 62.8635 279295 2 0 299
121.4995 25.7775 3.01785 3.01185 0.00581817  0 62.8625 279300 2 0 216
121.5495 25.8025 3.01858 3.01258 0.0058196  43 62.8677 279305 2 0 163
121.5995 25.8275 3.01932 3.01332 0.00582102  43 62.8663 279310 2 0 131
121.6495 25.8525 3.02006 3.01405 0.00582243  43.0001 62.8699 279315 2 0 106
121.6995 25.8775 3.02079 3.01479 0.00582385  43 62.8687 279320 2 0 95
121.7495 25.9025 3.02153 3.01552 0.00582527  43.0001 0 279325 2 0 58
121.7995 25.9275 3.02226 3.01625 0.00582668  42.9999 62.871 279330 2 0 55
121.8495 25.9525 3.02299 3.01699 0.0058281  43 62.8721 279336 2 0 30
121.8995 25.9775 3.02373 3.01772 0.00582951  42.9995 62.8727 279341 2 0 26
121.9495 26.0025 3.02446 3.01845 0.00583092  0 62.8747 279346 2 0 13
121.9995 26.0275 3.02519 3.01918 0.00583234  42.9998 62.875 279351 2 0 14
122.0495 26.0525 3.02592 3.01991 0.00583375  43.0003 62.8763 279356 2 0 11
122.0995 26.0775 3.02665 3.02064 0.00583515  43.0001 62.8761 279361 2 0 11
122.1495 26.1025 3.02738 3.02137 0.00583656  42.9999 62.8781 279366 2 0 5
122.1995 26.1275 3.02811 3.0221 0.00583797  43.0004 62.8782 279371 2 0 11
122.2495 26.1525 3.02884 3.02282 0.00583938  43.0003 62.8793 279377 2 0 4
122.2995 26.1775 3.02957 3.02355 0.00584078  43 62.8778 279382 2 0 4
#C Fri May 10 20:17:52 2019.  Temperature Setpoint at 44.
#C Fri May 10 20:17:53 2019.  Temperature Setpoint at 44.

#S 103  ascan  th 24.8275 26.0275  40 2
#D Fri May 10 20:19:54 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.007464895 3.001489035 0.005798161288 1.5406 -4.345929964 4.384963587 -35 81.13531497 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00746 3.00149 0.00579816
#P0 120.7995 25.4275 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 43.0048K  62.8832K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
24.8275 2.97625 3.03244 -0.0181551  44.0096 0 279520 2 0 7
24.8575 2.97782 3.0309 -0.0169575  44.0094 63.3122 279523 2 0 1
24.8875 2.97938 3.02936 -0.0157598  44.0079 63.3186 279526 2 0 3
24.9175 2.98095 3.02782 -0.0145622  44.0078 63.3255 279529 2 0 3
24.9475 2.98252 3.02628 -0.0133645  44.0072 63.3339 279532 2 0 11
24.9775 2.98408 3.02474 -0.0121669  44.0071 63.3433 279535 2 0 18
25.0075 2.98565 3.02319 -0.0109692  44.0067 63.3486 279538 2 0 7
25.0375 2.98721 3.02165 -0.00977156  44.0063 63.3561 279541 2 0 30
25.0675 2.98877 3.0201 -0.00857389  0 63.3644 279544 2 0 31
25.0975 2.99034 3.01856 -0.00737623  44.0055 63.3687 279547 2 0 57
25.1275 2.9919 3.01701 -0.00617856  44.005 63.3769 279550 2 0 73
25.1575 2.99346 3.01546 -0.00498089  0 63.3818 279553 2 0 136
25.1875 2.99502 3.01391 -0.00378322  0 63.387 279556 2 0 253
25.2175 2.99658 3.01236 -0.00258555  0 63.3949 279559 2 0 319
25.2475 2.99813 3.01081 -0.00138787  0 63.3997 279562 2 0 436
25.2775 2.99969 3.00926 -0.0001902  0 63.4056 279565 2 0 563
25.3075 3.00125 3.00771 0.00100747  44.0037 63.411 279568 2 0 744
25.3375 3.0028 3.00615 0.00220515  0 63.4186 279571 2 0 949
25.3675 3.00436 3.0046 0.00340282  0 63.4221 279574 2 0 1109
25.3975 3.00591 3.00304 0.00460049  0 63.4295 279577 2 0 1245
25.4275 3.00746 3.00149 0.00579816  0 63.4341 279580 2 0 1328
25.4575 3.00902 2.99993 0.00699583  0 63.439 279583 2 0 1293
25.4875 3.01057 2.99838 0.0081935  0 63.443 279586 2 0 1255
25.5175 3.01212 2.99682 0.00939116  0 63.4494 279589 2 0 1003
25.5475 3.01367 2.99526 0.0105888  0 63.4543 279592 2 0 842
25.5775 3.01522 2.9937 0.0117865  0 63.4588 279595 2 0 617
25.6075 3.01677 2.99214 0.0129841  0 63.4636 279598 2 0 399
25.6375 3.01831 2.99058 0.0141818  0 63.4675 279601 2 0 257
25.6675 3.01986 2.98901 0.0153794  0 63.4735 279604 2 0 146
25.6975 3.02141 2.98745 0.0165771  0 63.4782 279607 2 0 93
25.7275 3.02295 2.98589 0.0177747  0 63.4841 279610 2 0 60
25.7575 3.02449 2.98432 0.0189724  0 63.4867 279613 2 0 34
25.7875 3.02604 2.98276 0.02017  0 63.4921 279616 2 0 17
25.8175 3.02758 2.98119 0.0213676  0 63.496 279619 2 0 26
25.8475 3.02912 2.97962 0.0225652  0 63.4996 279622 2 0 15
25.8775 3.03066 2.97806 0.0237628  0 63.505 279625 2 0 11
25.9075 3.0322 2.97649 0.0249604  0 63.5087 279628 2 0 12
25.9375 3.03374 2.97492 0.026158  0 63.5111 279631 2 0 19
25.9675 3.03528 2.97335 0.0273556  0 63.515 279634 2 0 9
25.9975 3.03682 2.97178 0.0285532  0 63.5203 279637 2 0 6
26.0275 3.03835 2.97021 0.0297508  0 63.5237 279640 2 0 8

#S 104  a2scan  tth 119.299 122.299  th 24.6827 26.1827  60 2
#D Fri May 10 20:22:04 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.007736606 3.001216724 0.006007753454 1.5406 -4.345223454 4.385668066 -35 81.13531704 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00774 3.00122 0.00600775
#P0 120.7995 25.43275 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 0K  63.5237K 
#N 11
