#F NdLSCO0_0p24
#E 1513013725
#D Mon Dec 11 12:35:25 2017
#C Lineup  User = lab
#O0      2Th        Th       Chi       Phi      SLIR      SLIL      SLIT      SLIB
#O1     SLSL      SLSR      SLST      SLSB  

#S 1  ascan  th 14 18  30 1
#D Mon Dec 11 13:56:29 2017
#T 1  (Seconds)
#G4 0.6051450736 1.906079084 -0.2616279478 1.5406 5.04622856 -6.817282745 -35 -96.50709885 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 0.605145 1.90608 -0.261628
#P0 48.308 16.51775 -6 70.93525 -1.9 4 1 3
#P1 -9.5 -2 6 8 
#X 289.949K  294.043K 
#N 10
#L Chi  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
-7 0.608441 1.90336 -0.381179  289.932 294.043 5017 1 0 122
-6.93325 0.608224 1.90356 -0.373203  289.952 294.043 5019 1 0 152
-6.86675 0.608008 1.90376 -0.365256  289.956 294.043 5021 1 0 176
-6.8 0.60779 1.90395 -0.357279  289.929 294.043 5024 1 0 184
-6.73325 0.607572 1.90415 -0.349301  289.947 294.043 5026 1 0 237
-6.66675 0.607354 1.90433 -0.341353  289.949 294.043 5028 1 0 285
-6.6 0.607135 1.90452 -0.333374  289.93 294.043 5030 1 0 324
-6.53325 0.606916 1.9047 -0.325394  289.948 294.043 5032 1 0 380
-6.46675 0.606696 1.90489 -0.317444  289.949 294.043 5034 1 0 465
-6.4 0.606476 1.90506 -0.309464  289.929 294.043 5036 1 0 438
-6.33325 0.606255 1.90524 -0.301482  289.95 294.043 5038 1 0 434
-6.26675 0.606034 1.90541 -0.29353  289.952 294.043 5040 1 0 365
-6.2 0.605813 1.90558 -0.285548  289.928 294.043 5042 1 0 314
-6.13325 0.60559 1.90575 -0.277565  289.946 294.043 5044 1 0 307
-6.06675 0.605368 1.90592 -0.269612  289.955 294.043 5046 1 0 283
-6 0.605145 1.90608 -0.261628  289.935 294.043 5048 1 0 274
-5.93325 0.604921 1.90624 -0.253644  289.945 294.043 5050 1 0 247
-5.86675 0.604698 1.9064 -0.245689  289.948 294.043 5053 1 0 196
-5.8 0.604473 1.90655 -0.237703  289.929 294.043 5055 1 0 183
-5.73325 0.604248 1.9067 -0.229718  289.946 294.043 5057 1 0 160
-5.66675 0.604023 1.90685 -0.221761  289.95 294.043 5059 1 0 150
-5.6 0.603797 1.907 -0.213775  289.93 294.043 5061 1 0 128
-5.53325 0.603571 1.90714 -0.205788  289.945 294.043 5063 1 0 138
-5.46675 0.603345 1.90728 -0.19783  289.953 294.043 5065 1 0 139
-5.4 0.603117 1.90742 -0.189842  289.93 294.043 5067 1 0 101
-5.33325 0.602889 1.90756 -0.181854  289.942 294.043 5069 1 0 92
-5.26675 0.602662 1.90769 -0.173895  289.95 294.043 5071 1 0 60
-5.2 0.602433 1.90782 -0.165906  289.932 294.043 5073 1 0 58
-5.13325 0.602204 1.90795 -0.157917  289.948 294.043 5076 1 0 47
-5.06675 0.601975 1.90808 -0.149957  289.954 294.043 5078 1 0 36
-5 0.601744 1.9082 -0.141967  289.93 294.043 5080 1 0 24

#S 4  ascan  th 16.2177 16.8178  30 1
#D Mon Dec 11 14:00:36 2017
#T 1  (Seconds)
